City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Mackay,AU,2020-06-19 02:51:29,-21.15,149.2,73.4,73,60,16.11
120,Alto Araguaia,BR,2020-06-19 02:51:48,-17.31,-53.22,64.31,75,1,4.59
121,Port Hardy,CA,2020-06-19 02:55:37,50.7,-127.42,62.6,77,90,2.24
122,Tucurui,BR,2020-06-19 02:55:38,-3.77,-49.67,73.9,79,0,3.85
123,Tautira,PF,2020-06-19 02:55:38,-17.73,-149.15,82.4,74,75,5.82
124,Kotelnikovo,RU,2020-06-19 02:55:38,47.63,43.15,72.59,49,37,7.74
125,Katherine,AU,2020-06-19 02:55:39,-14.47,132.27,87.8,33,0,17.22
126,Cherskiy,RU,2020-06-19 02:55:39,68.75,161.3,80.94,25,0,10.33
127,Faanui,PF,2020-06-19 02:55:39,-16.48,-151.75,80.76,73,8,1.86
128,Dikson,RU,2020-06-19 02:55:39,73.51,80.55,32.95,98,100,13.89
129,Yenagoa,NG,2020-06-19 02:55:40,4.92,6.26,73.58,95,100,4.36
130,Krasnyy Luch,UA,2020-06-19 02:55:40,48.14,38.94,66.33,59,100,10.45
131,Pisco,PE,2020-06-19 02:55:40,-13.7,-76.22,64.4,82,90,6.93
132,Verkhnyaya Inta,RU,2020-06-19 02:52:10,65.98,60.31,48.06,53,83,14.18
133,Esperance,AU,2020-06-19 02:55:41,-33.87,121.9,53.6,93,90,12.75
134,Marawi,PH,2020-06-19 02:55:41,8.0,124.29,82.99,76,66,5.99
135,Vardo,NO,2020-06-19 02:55:42,70.37,31.11,44.6,81,75,11.41
136,Mar Del Plata,AR,2020-06-19 02:55:42,-38.0,-57.56,50.0,93,0,6.93
137,Rehoboth,NA,2020-06-19 02:55:42,-23.32,17.08,44.26,62,0,6.44
138,Sherbakul,RU,2020-06-19 02:55:43,54.63,72.4,51.8,62,0,6.71
139,Bonavista,CA,2020-06-19 02:55:43,48.65,-53.11,52.0,85,100,1.99
140,Katobu,ID,2020-06-19 02:55:43,-4.94,122.53,81.21,85,68,7.9
141,Rameswaram,IN,2020-06-19 02:55:43,9.28,79.3,85.77,72,100,10.51
142,Komsomolskiy,UZ,2020-06-19 02:55:44,40.43,71.72,71.6,30,0,2.24
143,Chiesanuova,SM,2020-06-19 02:55:44,43.9,12.42,64.99,72,0,2.24
144,Bulanash,RU,2020-06-19 02:55:44,57.28,62.0,54.9,47,0,1.63
145,Lucea,JM,2020-06-19 02:55:45,18.45,-78.17,80.6,88,20,2.24
146,Fairlie,GB,2020-06-19 02:55:45,55.76,-4.86,55.4,87,100,11.41
147,Nabire,ID,2020-06-19 02:55:45,-3.37,135.48,83.35,78,34,3.24
148,Kitgum,UG,2020-06-19 02:55:46,3.28,32.89,66.02,91,86,1.07
149,Tornio,FI,2020-06-19 02:55:46,65.85,24.15,57.2,82,3,11.41
150,Kruisfontein,ZA,2020-06-19 02:55:46,-34.0,24.73,54.86,44,0,8.95
151,Iwanai,JP,2020-06-19 02:55:46,42.97,140.51,69.75,64,71,4.29
152,Muzhi,RU,2020-06-19 02:55:47,65.37,64.67,47.26,53,54,11.43
153,Sironj,IN,2020-06-19 02:55:47,24.1,77.7,87.53,61,99,17.85
154,Port-Gentil,GA,2020-06-19 02:55:47,-0.72,8.78,73.33,85,100,5.79
155,Ponta Delgada,PT,2020-06-19 02:55:47,37.73,-25.67,64.4,68,75,4.88
156,Gao,ML,2020-06-19 02:55:48,16.64,1.64,86.68,39,11,6.89
157,Provost,CA,2020-06-19 02:55:48,52.35,-110.27,51.8,67,0,5.55
158,Atasu,KZ,2020-06-19 02:55:48,48.68,71.64,56.8,83,91,13.53
159,Daru,PG,2020-06-19 02:55:49,-9.08,143.21,78.66,82,100,16.78
160,Saint George,US,2020-06-19 02:51:21,37.1,-113.58,89.6,10,1,8.05
161,Norman Wells,CA,2020-06-19 02:55:49,65.28,-126.83,80.6,36,75,6.93
162,Ribeira Grande,PT,2020-06-19 02:55:49,38.52,-28.7,64.31,90,61,9.37
163,Krapivinskiy,RU,2020-06-19 02:55:50,55.0,86.81,59.0,87,20,11.18
164,Cape Town,ZA,2020-06-19 02:53:06,-33.93,18.42,64.4,39,0,12.75
165,Ahipara,NZ,2020-06-19 02:55:50,-35.17,173.17,57.42,61,11,10.76
166,Champerico,GT,2020-06-19 02:55:51,14.3,-91.92,81.19,77,100,4.21
167,Urdoma,RU,2020-06-19 02:55:51,61.75,48.54,57.65,60,69,6.89
168,Campo Verde,BR,2020-06-19 02:55:51,-20.42,-54.07,64.4,77,7,6.93
169,Srednekolymsk,RU,2020-06-19 02:55:51,67.45,153.68,89.83,18,0,8.57
170,Padang,ID,2020-06-19 02:55:52,-0.95,100.35,82.69,67,95,2.21
171,Luderitz,NA,2020-06-19 02:55:52,-26.65,15.16,69.8,26,0,3.36
172,Menongue,AO,2020-06-19 02:55:52,-14.66,17.69,44.56,75,0,4.34
173,Baykit,RU,2020-06-19 02:55:53,61.67,96.37,72.14,32,97,10.65
174,Port Moresby,PG,2020-06-19 02:52:02,-9.44,147.18,87.8,62,20,17.22
175,Kinsale,IE,2020-06-19 02:55:53,51.71,-8.53,48.2,81,20,5.82
176,North Bend,US,2020-06-19 02:55:54,43.41,-124.22,66.99,82,1,18.34
177,Lebu,CL,2020-06-19 02:55:54,-37.62,-73.65,53.24,86,74,10.89
178,Ilulissat,GL,2020-06-19 02:55:32,69.22,-51.1,35.6,93,37,5.82
179,Belaya Gora,RU,2020-06-19 02:55:55,68.53,146.42,90.36,18,0,13.78
180,Canmore,CA,2020-06-19 02:55:55,51.08,-115.35,57.2,67,1,3.36
181,Port Elizabeth,ZA,2020-06-19 02:55:55,-33.92,25.57,50.0,71,0,2.24
182,Haines Junction,CA,2020-06-19 02:55:55,60.75,-137.51,55.36,60,94,7.76
183,Mount Gambier,AU,2020-06-19 02:55:56,-37.83,140.77,59.0,58,34,19.46
184,Cayenne,GF,2020-06-19 02:51:16,4.93,-52.33,77.0,100,75,5.08
185,Avinurme,EE,2020-06-19 02:55:56,58.98,26.86,63.93,90,7,3.76
186,Provideniya,RU,2020-06-19 02:55:57,64.38,-173.3,57.2,62,42,6.71
187,Brewster,US,2020-06-19 02:55:42,41.4,-73.62,69.8,88,20,3.36
188,Benghazi,LY,2020-06-19 02:55:57,32.12,20.07,73.85,50,0,2.86
189,Victoria,HK,2020-06-19 02:52:39,22.29,114.16,91.99,62,77,11.99
190,Chuy,UY,2020-06-19 02:51:04,-33.7,-53.46,54.57,90,87,7.4
191,Waipawa,NZ,2020-06-19 02:55:58,-41.41,175.52,61.0,85,100,9.4
192,Borodino,RU,2020-06-19 02:55:58,55.91,94.9,63.66,83,68,16.93
193,Port Hedland,AU,2020-06-19 02:55:59,-20.32,118.57,82.4,37,0,10.29
194,Coquimbo,CL,2020-06-19 02:53:02,-29.95,-71.34,53.6,81,100,9.17
195,Hithadhoo,MV,2020-06-19 02:55:59,-0.6,73.08,84.65,73,74,3.38
196,Narsaq,GL,2020-06-19 02:56:00,60.92,-46.05,41.0,79,99,2.24
197,Temple,US,2020-06-19 02:55:50,31.1,-97.34,87.8,52,75,13.87
198,Magistralnyy,RU,2020-06-19 02:56:00,56.17,107.45,67.86,38,0,4.88
199,Mecca,SA,2020-06-19 02:56:00,21.43,39.83,84.31,28,91,7.52
200,Savannah Bight,HN,2020-06-19 02:56:01,16.45,-85.85,82.63,79,70,26.44
201,Tecoanapa,MX,2020-06-19 02:56:02,16.52,-98.75,82.17,74,99,4.45
202,Cabinda,AO,2020-06-19 02:56:02,-5.55,12.2,71.91,91,65,3.06
203,Acajutla,SV,2020-06-19 02:56:02,13.59,-89.83,70.0,100,100,2.21
204,Synya,RU,2020-06-19 02:56:02,65.37,58.04,45.7,58,99,9.6
205,Sinnamary,GF,2020-06-19 02:56:03,5.38,-52.95,77.25,86,100,5.59
206,Tabas,IR,2020-06-19 02:56:03,33.6,56.92,86.0,15,5,4.7
207,Stromness,GB,2020-06-19 02:56:03,58.97,-3.3,52.0,93,100,10.29
208,Lorengau,PG,2020-06-19 02:56:04,-2.02,147.27,83.71,77,5,6.33
209,Smithers,CA,2020-06-19 02:51:14,54.78,-127.17,62.6,82,90,5.82
210,Berlevag,NO,2020-06-19 02:56:04,70.86,29.09,42.8,75,75,12.75
211,Beyla,GN,2020-06-19 02:56:04,8.68,-8.63,68.07,98,100,3.56
212,Kodiak,US,2020-06-19 02:56:05,57.79,-152.41,51.8,76,75,13.87
213,Vilhena,BR,2020-06-19 02:56:05,-12.74,-60.15,68.81,76,11,3.78
214,Yerbogachen,RU,2020-06-19 02:52:10,61.28,108.01,73.67,33,16,2.17
215,Conakry,GN,2020-06-19 02:55:05,9.54,-13.68,81.3,80,100,9.93
216,Lasa,IT,2020-06-19 02:56:08,46.62,10.7,46.4,87,75,9.17
217,Tura,IN,2020-06-19 02:56:08,25.52,90.22,80.15,87,88,4.88
218,Sarkand,KZ,2020-06-19 02:56:09,45.41,79.92,72.34,25,0,5.66
219,Seoul,KR,2020-06-19 02:55:34,37.57,126.98,82.4,57,75,4.7
220,Sisophon,KH,2020-06-19 02:56:09,13.59,102.97,86.49,66,73,3.65
221,Le Pont-De-Claix,FR,2020-06-19 02:56:09,45.12,5.71,46.99,94,0,1.99
222,Inhambane,MZ,2020-06-19 02:56:10,-23.86,35.38,65.79,83,1,6.85
223,Arlit,NE,2020-06-19 02:51:18,18.74,7.39,89.73,13,0,9.53
224,Half Moon Bay,US,2020-06-19 02:56:10,37.46,-122.43,82.4,87,20,5.82
225,Saint-Joseph,RE,2020-06-19 02:56:10,-21.37,55.62,69.8,68,66,17.22
226,Torbay,CA,2020-06-19 02:56:11,47.67,-52.73,59.0,77,90,18.34
227,Muyezerskiy,RU,2020-06-19 02:56:11,63.93,31.65,55.81,92,66,12.53
228,Ahuimanu,US,2020-06-19 02:56:11,21.44,-157.84,93.2,44,90,12.75
229,Akdepe,TM,2020-06-19 02:56:12,42.06,59.38,75.2,43,15,4.7
230,Muros,ES,2020-06-19 02:56:12,42.78,-9.06,50.0,92,62,1.01
231,San Patricio,MX,2020-06-19 02:56:12,19.22,-104.7,78.01,72,1,5.08
