City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
284,Muscle Shoals,US,clear sky,72.0,34.74,-87.67,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
286,Talaya,RU,overcast clouds,71.6,61.38,152.75,
288,Naze,JP,shower rain,77.0,28.37,129.48,奄美ポートタワーホテル
289,Alekseyevka,RU,broken clouds,72.48,50.63,38.69,Apartment on Ploshchad Pobedy
290,Hopkinsville,US,few clouds,72.0,36.87,-87.49,Rodeway Inn
294,Seymchan,RU,scattered clouds,75.7,62.88,152.43,
307,Lensk,RU,broken clouds,79.5,60.73,114.93,ТинОрС
311,Bukachacha,RU,few clouds,72.48,52.98,116.92,
317,Saint-Pierre,RE,scattered clouds,75.2,-21.34,55.48,Lindsey Hôtel
325,Luderitz,,clear sky,71.6,-26.65,15.16,LÜDERITZ NEST HOTEL
328,Hami,CN,overcast clouds,78.62,42.8,93.45,Laoyutang Resort
329,Gat,IL,broken clouds,77.0,31.61,34.76,רגע בנחת
330,Naples,IT,scattered clouds,75.0,40.83,14.25,Renaissance Naples Hotel Mediterraneo
334,Wilmington,US,scattered clouds,71.6,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
337,Ouargaye,BF,broken clouds,76.86,11.5,0.06,Auberge Belle Etoile
344,Buchanan,LR,broken clouds,77.0,5.88,-10.05,Kamaneahn Hotel Inc
345,Maceio,BR,light rain,71.6,-9.67,-35.74,Mercure Maceio Pajucara Hotel
350,San Gavino Monreale,IT,clear sky,71.6,39.55,8.79,HOTEL CROCUS
360,Callaway,US,clear sky,79.0,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
361,Ahuimanu,US,broken clouds,78.8,21.44,-157.84,Paradise Bay Resort
362,Kirkwood,US,scattered clouds,75.99,38.58,-90.41,Holiday Inn St Louis SW - Route 66
372,Katiola,CI,overcast clouds,70.57,8.13,-5.1,Kakoumani
373,Kristiansund,NO,broken clouds,73.4,63.11,7.73,Thon Hotels Storgata
374,Benton Harbor,US,clear sky,73.0,42.12,-86.45,The Boulevard Inn & Bistro
375,Khandbari,NP,overcast clouds,76.73,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
379,Uvarovka,RU,clear sky,76.12,55.53,35.61,
386,Sao Gabriel Da Cachoeira,BR,overcast clouds,71.94,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
389,Aguimes,ES,scattered clouds,71.6,27.91,-15.45,Hotel Villa de Aguimes
391,Quatre Cocos,MU,shower rain,73.99,-20.21,57.76,Veranda Palmar Beach Hotel
397,Mumford,GH,overcast clouds,76.84,5.26,-0.76,Spanish Villa
398,Fort Nelson,CA,broken clouds,73.4,58.81,-122.7,The Fort Nelson Hotel
400,Kangavar,IR,clear sky,77.0,34.5,47.97,محمد جوادرضایی
407,Carutapera,BR,scattered clouds,73.78,-1.2,-46.02,Lidera
414,Morondava,MG,broken clouds,70.99,-20.28,44.28,La Case Bambou
420,Nacaome,HN,broken clouds,75.67,13.54,-87.49,Royal Palace hotel
425,Tricase,IT,broken clouds,77.0,39.93,18.36,Hotel Adriatico
427,Axim,GH,broken clouds,76.3,4.87,-2.24,AXIM BEACH RESORT AND SPA
440,Trinidad,BO,clear sky,72.7,-14.83,-64.9,Hotel Piesta
442,Naruja,GE,scattered clouds,75.2,41.91,41.95,PREMIUM family sweet apartment OAZIS DREAM
446,Urazovo,RU,overcast clouds,72.82,50.08,38.04,Dvuluchenskiy Tskr
447,Nicoya,CR,overcast clouds,75.0,10.15,-85.45,Guayacan Real
448,Los Llanos De Aridane,ES,broken clouds,71.6,28.66,-17.92,Valle Aridane
450,Virginia Beach,US,overcast clouds,73.0,36.85,-75.98,Hilton Virginia Beach Oceanfront
456,Chegdomyn,RU,broken clouds,73.06,51.12,133.02,Gostinitsa Bureya
462,Lazaro Cardenas,MX,few clouds,78.26,17.96,-102.2,Hotel Quinta Antigua
464,Gamba,GA,few clouds,71.8,-2.65,10.0,
466,Tomatlan,MX,clear sky,75.33,19.93,-105.25,Norma franco
477,Abu Samrah,SY,clear sky,76.23,35.3,37.18,
490,Xapuri,BR,broken clouds,71.8,-10.65,-68.5,Restaurante Viana
491,Afua,BR,few clouds,74.34,-0.16,-50.39,Hotel Dias
497,Sabaudia,IT,few clouds,73.0,41.3,13.03,Oasi di Kufra
506,Yerbogachen,RU,few clouds,75.09,61.28,108.01,
509,Yaan,NG,overcast clouds,72.81,7.38,8.57,
510,Itarema,BR,clear sky,74.46,-2.92,-39.92,Windvillage
516,Pitimbu,BR,scattered clouds,77.45,-7.47,-34.81,Reserva do Abiaí
518,Sakakah,SA,clear sky,75.2,29.97,40.21,Fakhamat Al Orjoana Apartment
